DATE,Prices
2021-05-10,19.66
2021-05-11,21.84
2021-05-12,27.59
2021-05-13,23.129999
2021-05-14,18.809999
2021-05-17,19.719999
2021-05-18,21.34
2021-05-19,22.18
2021-05-20,20.67
2021-05-21,20.15
2021-05-24,18.4
2021-05-25,18.84
2021-05-26,17.360001
2021-05-27,16.74
2021-05-28,16.76
2021-06-01,17.9
2021-06-02,17.48
2021-06-03,18.040001
2021-06-04,16.42
2021-06-07,16.42
2021-06-08,17.07
2021-06-09,17.889999
2021-06-10,16.1
2021-06-11,15.65
2021-06-14,16.389999
2021-06-15,17.02
2021-06-16,18.15
2021-06-17,17.75
2021-06-18,20.700001
2021-06-21,17.889999
2021-06-22,16.66
2021-06-23,16.32
2021-06-24,15.97
2021-06-25,15.62
2021-06-28,15.76
2021-06-29,16.02
2021-06-30,15.83
2021-07-01,15.48
2021-07-02,15.07
2021-07-06,16.440001
2021-07-07,16.200001
2021-07-08,19
2021-07-09,16.18
2021-07-12,16.17
2021-07-13,17.120001
2021-07-14,16.33
2021-07-15,17.01
2021-07-16,18.450001
2021-07-19,22.5
2021-07-20,19.73
2021-07-21,17.91
2021-07-22,17.690001
2021-07-23,17.200001
2021-07-26,17.58
2021-07-27,19.360001
2021-07-28,18.309999
2021-07-29,17.700001
2021-07-30,18.24
2021-08-02,19.459999
2021-08-03,18.040001
2021-08-04,17.969999
2021-08-05,17.280001
2021-08-06,16.15
2021-08-09,16.719999
2021-08-10,16.790001
2021-08-11,16.17
2021-08-12,15.59
2021-08-13,15.45
2021-08-16,16.120001
2021-08-17,17.91
2021-08-18,21.57
2021-08-19,21.67
2021-08-20,18.559999
2021-08-23,17.15
2021-08-24,17.219999
2021-08-25,16.790001
2021-08-26,18.84
2021-08-27,16.389999
2021-08-30,16.190001
2021-08-31,16.48
2021-09-01,16.110001
2021-09-02,16.41
2021-09-03,16.41
2021-09-07,18.139999
2021-09-08,17.959999
2021-09-09,18.799999
2021-09-10,20.950001
2021-09-13,19.370001
2021-09-14,19.459999
2021-09-15,18.18
2021-09-16,18.690001
2021-09-17,20.809999
2021-09-20,25.709999
2021-09-21,24.360001
2021-09-22,20.870001
2021-09-23,18.629999
2021-09-24,17.75
2021-09-27,18.76
2021-09-28,23.25
2021-09-29,22.559999
2021-09-30,23.139999
2021-10-01,21.1
2021-10-04,22.959999
2021-10-05,21.299999
2021-10-06,21
2021-10-07,19.540001
2021-10-08,18.77
2021-10-11,20
2021-10-12,19.85
2021-10-13,18.639999
2021-10-14,16.860001
2021-10-15,16.299999
2021-10-18,16.309999
2021-10-19,15.7
2021-10-20,15.49
2021-10-21,15.01
2021-10-22,15.43
2021-10-25,15.24
2021-10-26,15.98
2021-10-27,16.98
2021-10-28,16.530001
2021-10-29,16.26
2021-11-01,16.41
2021-11-02,16.030001
2021-11-03,15.1
2021-11-04,15.44
2021-11-05,16.48
2021-11-08,17.219999
2021-11-09,17.780001
2021-11-10,18.73
2021-11-11,17.66
2021-11-12,16.290001
2021-11-15,16.49
2021-11-16,16.370001
2021-11-17,17.110001
2021-11-18,17.59
2021-11-19,17.91
2021-11-22,19.17
2021-11-23,19.379999
2021-11-24,18.58
2021-11-26,28.620001
2021-11-29,22.959999
2021-11-30,27.190001
2021-12-01,31.120001
2021-12-02,27.950001
2021-12-03,30.67
2021-12-06,27.18
2021-12-07,21.889999
2021-12-08,19.9
2021-12-09,21.58
2021-12-10,18.690001
2021-12-13,20.309999
2021-12-14,21.889999
2021-12-15,19.290001
2021-12-16,20.57
2021-12-17,21.57
2021-12-20,22.870001
2021-12-21,21.01
2021-12-22,18.629999
2021-12-23,17.959999
2021-12-27,17.68
2021-12-28,17.540001
2021-12-29,16.950001
2021-12-30,17.33
2021-12-31,17.219999
2022-01-03,16.6
2022-01-04,16.91
2022-01-05,19.73
2022-01-06,19.610001
2022-01-07,18.76
2022-01-10,19.4
2022-01-11,18.41
2022-01-12,17.620001
2022-01-13,20.309999
2022-01-14,19.190001
2022-01-18,22.790001
2022-01-19,23.85
2022-01-20,25.59
2022-01-21,28.85
2022-01-24,29.9
2022-01-25,31.16
2022-01-26,31.959999
2022-01-27,30.49
2022-01-28,27.66
2022-01-31,24.83
2022-02-01,21.959999
2022-02-02,22.09
2022-02-03,24.35
2022-02-04,23.219999
2022-02-07,22.860001
2022-02-08,21.440001
2022-02-09,19.959999
2022-02-10,23.91
2022-02-11,27.360001
2022-02-14,28.33
2022-02-15,25.700001
2022-02-16,24.290001
2022-02-17,28.110001
2022-02-18,27.75
2022-02-22,28.809999
2022-02-23,31.02
2022-02-24,30.32
2022-02-25,27.59
2022-02-28,30.15
2022-03-01,33.32
2022-03-02,30.74
2022-03-03,30.48
2022-03-04,31.98
2022-03-07,36.450001
2022-03-08,35.130001
2022-03-09,32.450001
2022-03-10,30.23
2022-03-11,30.75
2022-03-14,31.77
2022-03-15,29.83
2022-03-16,26.67
2022-03-17,25.67
2022-03-18,23.870001
2022-03-21,23.530001
2022-03-22,22.940001
2022-03-23,23.57
2022-03-24,21.67
2022-03-25,20.809999
2022-03-28,19.629999
2022-03-29,18.9
2022-03-30,19.33
2022-03-31,20.559999
2022-04-01,19.629999
2022-04-04,18.57
2022-04-05,21.030001
2022-04-06,22.1
2022-04-07,21.549999
2022-04-08,21.16
2022-04-11,24.370001
2022-04-12,24.26
2022-04-13,21.82
2022-04-14,22.700001
2022-04-18,22.17
2022-04-19,21.370001
2022-04-20,20.32
2022-04-21,22.68
2022-04-22,28.209999
2022-04-25,27.02
2022-04-26,33.52
2022-04-27,31.6
2022-04-28,29.99
2022-04-29,33.400002
2022-05-02,32.34
2022-05-03,29.25
2022-05-04,25.42
2022-05-05,31.200001
2022-05-06,30.190001
2022-05-09,34.75
